"Name,""Price"",""Score"",""Count_comment"",""Text"",""Count_byers"",""Reason"",""Count_suggest"""
"Смартфон HUAWEI P Smart (2019) 3/32GB,11990,4.5,28,""смартфон с Android 9.0поддержка двух SIM-картэкран 6.21"""", разрешение 2340x1080двойная камера 13 МП/2 МП, автофокуспамять 32 Гб, слот для карты памяти"",3314,"" долгое время работы, экран"",112"
"Смартфон Xiaomi Redmi Note 6 Pro 4/64GB,13990,4.5,52,""смартфон на платформе Androidподдержка двух SIM-картэкран 6.25"""", разрешение 2280x1080двойная камера 12 МП/5 МП, автофокуспамять 64 Гб, слот для карты памяти"",5217,"" качество фотографий, долгое время работы"",193"
"Смартфон Xiaomi Pocophone F1 6/128GB,21790,5,28,""смартфон на платформе Androidподдержка двух SIM-картэкран 6.18"""", разрешение 2246x1080двойная камера 12 МП/5 МП, автофокуспамять 128 Гб, слот для карты памяти"",1045,"" Объем памяти, мощный процессор"",73"
"Смартфон Honor 8X 4/64GB,15590,4.5,99,""смартфон на платформе Androidподдержка двух SIM-картэкран 6.5"""", разрешение 2340x1080двойная камера 20 МП/2 МП, автофокуспамять 64 Гб, слот для карты памяти"",4515,"" долгое время работы, экран"",90"
"Смартфон Xiaomi Redmi 6A 2/16GB,6090,4.5,92,""смартфон на платформе Androidподдержка двух SIM-картэкран 5.45"""", разрешение 1440x720камера 13 МП, автофокуспамять 16 Гб, слот для карты памяти"",9986,"" экран, долгое время работы"",256"
"Смартфон Samsung Galaxy S10e 6/128GB,56990,5,NA,""смартфон с Android 9.0поддержка двух SIM-картэкран 5.8""""двойная камера 16 МП/12 МП, автофокуспамять 128 Гб, слот для карты памяти"",NA,NA,57"
"Смартфон Xiaomi Mi8 Lite 4/64GB,13640,4.5,26,""смартфон с Android 8.1поддержка двух SIM-картэкран 6.26"""", разрешение 2280x1080двойная камера 12 МП/5 МП, автофокуспамять 64 Гб, без слота для карт памяти"",3125,"" мощный процессор, экран"",126"
"Смартфон Apple iPhone X 64GB,55890,4,160,""смартфон с iOS 11экран 5.8"""", разрешение 2436x1125двойная камера 12 МП/12 МП, автофокуспамять 64 Гб, без слота для карт памяти3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС"",5187,"" качество фотографий, мощный процессор"",173"
"Смартфон Honor View 20 6/128GB,34190,4.5,21,""смартфон с Android 9.0поддержка двух SIM-картэкран 6.4"""", разрешение 2310x1080двойная камера 48 МП, автофокуспамять 128 Гб, без слота для карт памяти"",801,"" долгое время работы, мощный процессор"",25"
"Смартфон HUAWEI P20 Lite,13990,4.5,163,""смартфон с Android 8.0поддержка двух SIM-картэкран 5.84"""", разрешение 2280x1080двойная камера 16 МП/2 МП, автофокуспамять 64 Гб, слот для карты памяти"",3968,"" Объем памяти, экран"",132"
"Смартфон Apple iPhone 8 64GB,39890,4.5,90,""смартфон с iOS 11экран 4.7"""", разрешение 1334x750камера 12 МП, автофокуспамять 64 Гб, без слота для карт памяти3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС"",2200,"" качество фотографий, мощный процессор"",278"
"Смартфон Samsung Galaxy S10+ 8/128GB,76990,4,NA,""смартфон с Android 9.0поддержка двух SIM-картэкран 6.4""""три камеры 16 МП/12 МП/12 МП, автофокуспамять 128 Гб, слот для карты памяти"",77,"" качество фотографий, мощный процессор"",38"
"Смартфон Samsung Galaxy S8,24990,4,363,""смартфон с Android 7.0поддержка двух SIM-картэкран 5.8"""", разрешение 2960x1440камера 12 МП, автофокуспамять 64 Гб, слот для карты памяти"",4518,"" качество фотографий, мощный процессор"",337"
"Смартфон Honor 10 Lite 3/64GB,14790,4,3,""смартфон с Android 9.0поддержка двух SIM-картэкран 6.21"""", разрешение 2340x1080двойная камера 13 МП/2 МП, автофокуспамять 64 Гб, слот для карты памяти"",402,"" качество фотографий, долгое время работы"",59"
"Смартфон Samsung Galaxy S9 64GB,33790,4.5,92,""смартфон с Android 8.0поддержка двух SIM-картэкран 5.8"""", разрешение 2960x1440камера 12 МП, автофокуспамять 64 Гб, слот для карты памяти"",3177,"" качество фотографий, мощный процессор"",364"
"Смартфон Xiaomi Redmi Note 5 3/32GB,10190,4.5,93,""смартфон на платформе Androidподдержка двух SIM-картэкран 5.99"""", разрешение 2160x1080двойная камера 12 МП/5 МП, автофокуспамять 32 Гб, слот для карты памяти"",3780,"" долгое время работы, экран"",103"
"Смартфон Apple iPhone Xr 64GB,53290,4.5,49,""смартфон с iOS 12поддержка двух SIM-карт (nano SIM+eSIM)экран 6.1"""", разрешение 1792x828камера 12 МП, автофокуспамять 64 Гб, без слота для карт памяти"",NA,"" качество фотографий, мощный процессор"",525"
"Смартфон Samsung Galaxy S10+ 12/1024GB,124990,5,NA,""смартфон с Android 9.0поддержка двух SIM-картэкран 6.4""""три камеры 16 МП/12 МП/12 МП, автофокуспамять 1024 Гб, слот для карты памяти"",NA,NA,7"
"Смартфон Apple iPhone 7 32GB,33524,4,188,""смартфон с iOS 10экран 4.7"""", разрешение 1334x750камера 12 МП, автофокуспамять 32 Гб, без слота для карт памяти3G, 4G LTE, LTE-A, Wi-Fi, Bluetooth, NFC, GPS, ГЛОНАСС"",2679,"" качество фотографий, мощный процессор"",234"
